index division length width area intensity CMx CMy
465 0 94.1775 12.8268 1208 155.873 644.534 467.206
466 0 97.2451 13.0701 1271 154.693 645.506 465.552
467 0 99.3452 13.2669 1318 156.392 644.12 463.595
468 0 101.405 13.0862 1327 153.72 648.092 462.39
469 0 106.265 13.4475 1429 153.54 643.523 460.021
470 1 57.2659 11.5601 662 159.541 645.171 485.148
471 0 58.0887 12.3948 720 154.119 642.838 484.086
472 0 60.093 12.5306 753 153.555 644.09 483.537
473 0 62.0967 12.4644 774 152.164 644.969 483.245
474 0 64.0464 12.6471 810 155.501 644.681 482.404
475 0 63.1171 13.166 831 153.375 643.161 481.561
476 0 67.1174 12.9326 868 154.161 645.552 479.931
477 0 69.0894 12.5634 868 150.485 645.131 478.427
478 0 73.1255 12.7999 936 155.89 644.021 477.954
479 0 74.1006 12.9014 956 150.988 644.491 476.6
480 0 74.1118 13.4661 998 151.12 642.593 475.636
481 0 78.0703 13.0011 1015 145.8 645.161 474.96
482 0 80.0782 13.287 1064 160.582 643.533 473.049
483 0 85.0761 13.0589 1111 156.526 645.501 471.945
484 0 86.1631 13.0102 1121 158.426 644.831 470.952
485 0 89.0802 13.3251 1187 156.793 644.824 469.472
486 0 91.0718 13.6705 1245 163.512 643.868 468.29
487 0 94.0905 13.4551 1266 158.676 644.801 466.513
488 0 98.2172 13.7043 1346 157.197 643.413 464.371
489 0 99.181 13.672 1356 158.923 646.344 464.029
490 0 103.201 13.4398 1387 152.728 644.275 462.209
491 0 108.246 12.9612 1403 158.272 644.864 460.033
492 0 110.234 13.6165 1501 156.565 644.54 459.145
493 0 115.159 13.4596 1550 162.719 644.429 457.893
494 1 59.0653 13.2734 784 158.32 642.564 482.82
