distance,correlations,dataset,old_var,young_var
9.0,0.03953868858048044,physical units,generationtime,length_birth
9.0,0.07662465818728396,physical units,generationtime,length_final
9.0,-0.23281410851025072,physical units,generationtime,growth_rate
9.0,0.00015212395596997283,physical units,length_birth,fold_growth
9.0,0.009306086479989288,physical units,length_birth,division_ratio
9.0,0.1164007972249414,physical units,length_birth,added_length
9.0,0.04179625408324942,physical units,length_birth,generationtime
9.0,0.20555277471291206,physical units,length_birth,length_birth
9.0,0.2062397119197449,physical units,length_birth,length_final
9.0,-0.07213654210531163,physical units,length_birth,growth_rate
9.0,0.008437259789992041,physical units,length_final,fold_growth
9.0,-0.027806041288974907,physical units,length_final,division_ratio
9.0,0.13726559983037437,physical units,length_final,added_length
9.0,0.0707103909434518,physical units,length_final,generationtime
9.0,0.217292817374238,physical units,length_final,length_birth
9.0,0.22974775908701367,physical units,length_final,length_final
9.0,-0.10155715994399843,physical units,length_final,growth_rate
9.0,-0.0496940232306399,physical units,growth_rate,fold_growth
9.0,0.08559102152600796,physical units,growth_rate,division_ratio
9.0,-0.0797121078381991,physical units,growth_rate,added_length
9.0,-0.23971712047798732,physical units,growth_rate,generationtime
9.0,-0.05374992140610772,physical units,growth_rate,length_birth
9.0,-0.09458119072704282,physical units,growth_rate,length_final
9.0,0.29867600835330316,physical units,growth_rate,growth_rate
10.0,0.02049295791765481,physical units,fold_growth,fold_growth
10.0,0.005630958680333567,physical units,fold_growth,division_ratio
10.0,0.012775105377409682,physical units,fold_growth,added_length
10.0,0.049193514210973247,physical units,fold_growth,generationtime
10.0,-0.0029709544751927034,physical units,fold_growth,length_birth
10.0,0.008990915622730172,physical units,fold_growth,length_final
10.0,-0.045089107639246805,physical units,fold_growth,growth_rate
10.0,-0.02928203511225084,physical units,division_ratio,fold_growth
10.0,0.05348927494329284,physical units,division_ratio,division_ratio
10.0,-0.028613682385919374,physical units,division_ratio,added_length
10.0,-0.07519918581993253,physical units,division_ratio,generationtime
10.0,0.014755060302461561,physical units,division_ratio,length_birth
10.0,-0.01582733665610835,physical units,division_ratio,length_final
10.0,0.07620954954814997,physical units,division_ratio,growth_rate
10.0,0.013310317315410488,physical units,added_length,fold_growth
10.0,0.0058077122997173694,physical units,added_length,division_ratio
10.0,0.08331065380559337,physical units,added_length,added_length
10.0,0.06262834097472095,physical units,added_length,generationtime
10.0,0.1261826465716593,physical units,added_length,length_birth
10.0,0.13608597006422868,physical units,added_length,length_final
10.0,-0.08221710160156752,physical units,added_length,growth_rate
10.0,0.038635683655173114,physical units,generationtime,fold_growth
10.0,-0.04709478029387571,physical units,generationtime,division_ratio
10.0,0.057477825433003074,physical units,generationtime,added_length
10.0,0.19619216231343453,physical units,generationtime,generationtime
10.0,0.03854376462897931,physical units,generationtime,length_birth
10.0,0.06807446875903131,physical units,generationtime,length_final
10.0,-0.24092959701385044,physical units,generationtime,growth_rate
10.0,-0.010890273003981306,physical units,length_birth,fold_growth
10.0,-0.013444938507820773,physical units,length_birth,division_ratio
10.0,0.11456092595789934,physical units,length_birth,added_length
10.0,0.034478475070036624,physical units,length_birth,generationtime
10.0,0.21419311603427527,physical units,length_birth,length_birth
10.0,0.20877830620384413,physical units,length_birth,length_final
10.0,-0.07571417206144965,physical units,length_birth,growth_rate
10.0,0.004821651002513774,physical units,length_final,fold_growth
10.0,-0.0025697021422807944,physical units,length_final,division_ratio
10.0,0.12841375248274828,physical units,length_final,added_length
10.0,0.06877100989556928,physical units,length_final,generationtime
10.0,0.21636527766265437,physical units,length_final,length_birth
10.0,0.2213978025203712,physical units,length_final,length_final
10.0,-0.10665216602099252,physical units,length_final,growth_rate
10.0,-0.026778911408237804,physical units,growth_rate,fold_growth
10.0,0.08545071611420625,physical units,growth_rate,division_ratio
10.0,-0.06552687596575094,physical units,growth_rate,added_length
10.0,-0.2287286753562362,physical units,growth_rate,generationtime
10.0,-0.06367519430511476,physical units,growth_rate,length_birth
10.0,-0.08810813930842229,physical units,growth_rate,length_final
10.0,0.30956325531780643,physical units,growth_rate,growth_rate
11.0,0.018851196782114502,physical units,fold_growth,fold_growth
11.0,-0.04868529410209839,physical units,fold_growth,division_ratio
11.0,0.016598130009335178,physical units,fold_growth,added_length
11.0,0.04439278645539408,physical units,fold_growth,generationtime
11.0,0.006118875091419039,physical units,fold_growth,length_birth
11.0,0.017005665122313548,physical units,fold_growth,length_final
11.0,-0.041072613890762846,physical units,fold_growth,growth_rate
11.0,-0.04664806962464814,physical units,division_ratio,fold_growth
11.0,0.03376473507841886,physical units,division_ratio,division_ratio
11.0,-0.032472013220294894,physical units,division_ratio,added_length
