variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,cov difference between data and modeldataset,generation,corr difference between data and model,cov difference between data and model,dataset
fold_growth,growth_rate,"$\phi$, $\alpha$",-0.002602595647899103,-0.09052177699359659,model,,5,0.0,0.0,SP
division_ratio,division_ratio,$f$,-1.3490264279927547e-05,-0.009868872079462397,physical_units,,0,0.0,0.0,SP
division_ratio,division_ratio,$\delta f$,-7.093464018112042e-05,-0.051892600131769294,trace_centered,,0,0.0,0.0,SP
division_ratio,division_ratio,$\overline{f}$,5.744437590119287e-05,0.0420237280523069,time_averages,,0,0.0,0.0,SP
division_ratio,division_ratio,$f$,-1.3490264279927547e-05,-0.009868872079462397,model,,0,0.0,0.0,SP
division_ratio,division_ratio,$f$,0.00025354056895662825,0.18547890464311334,physical_units,,1,0.0,0.0,SP
division_ratio,division_ratio,$\delta f$,0.00019609619305543537,0.14345517659080642,trace_centered,,1,0.0,0.0,SP
division_ratio,division_ratio,$\overline{f}$,5.744437590119287e-05,0.0420237280523069,time_averages,,1,0.0,0.0,SP
division_ratio,division_ratio,$f$,0.00025354056895662825,0.18547890464311334,model,,1,0.0,0.0,SP
division_ratio,division_ratio,$f$,1.5172424748141942e-05,0.011099465204508692,physical_units,,2,0.0,0.0,SP
division_ratio,division_ratio,$\delta f$,-4.227195115305093e-05,-0.030924262847798204,trace_centered,,2,0.0,0.0,SP
division_ratio,division_ratio,$\overline{f}$,5.744437590119287e-05,0.0420237280523069,time_averages,,2,0.0,0.0,SP
division_ratio,division_ratio,$f$,1.5172424748141942e-05,0.011099465204508692,model,,2,0.0,0.0,SP
division_ratio,division_ratio,$f$,-2.252513662732655e-05,-0.01647837932117166,physical_units,,3,-6.938893903907228e-18,-6.776263578034403e-21,SP
division_ratio,division_ratio,$\delta f$,-7.996951252851943e-05,-0.058502107373478565,trace_centered,,3,-6.938893903907228e-18,-6.776263578034403e-21,SP
division_ratio,division_ratio,$\overline{f}$,5.744437590119287e-05,0.0420237280523069,time_averages,,3,-6.938893903907228e-18,-6.776263578034403e-21,SP
division_ratio,division_ratio,$f$,-2.2525136627326557e-05,-0.016478379321171667,model,,3,-6.938893903907228e-18,-6.776263578034403e-21,SP
division_ratio,division_ratio,$f$,-1.1226983705588573e-05,-0.008213157557893109,physical_units,,4,3.469446951953614e-18,5.082197683525802e-21,SP
division_ratio,division_ratio,$\delta f$,-6.867135960678144e-05,-0.050236885610200004,trace_centered,,4,3.469446951953614e-18,5.082197683525802e-21,SP
division_ratio,division_ratio,$\overline{f}$,5.744437590119287e-05,0.0420237280523069,time_averages,,4,3.469446951953614e-18,5.082197683525802e-21,SP
division_ratio,division_ratio,$f$,-1.1226983705588568e-05,-0.008213157557893105,model,,4,3.469446951953614e-18,5.082197683525802e-21,SP
division_ratio,division_ratio,$f$,7.505152839417649e-05,0.054904330836003885,physical_units,,5,0.0,0.0,SP
division_ratio,division_ratio,$\delta f$,1.7607152492983616e-05,0.012880602783696985,trace_centered,,5,0.0,0.0,SP
division_ratio,division_ratio,$\overline{f}$,5.744437590119287e-05,0.0420237280523069,time_averages,,5,0.0,0.0,SP
division_ratio,division_ratio,$f$,7.505152839417649e-05,0.054904330836003885,model,,5,0.0,0.0,SP
division_ratio,added_length,"$f$, $\Delta$",-9.30128728791644e-05,-0.002996596986495002,physical_units,,0,-4.336808689942018e-19,-1.3552527156068805e-20,SP
division_ratio,added_length,"$\delta f$, $\delta \Delta$",0.0005166987238555763,0.016646489791181072,trace_centered,,0,-4.336808689942018e-19,-1.3552527156068805e-20,SP
division_ratio,added_length,"$\overline{f}$, $\overline{\Delta}$",-0.0006097115967347407,-0.019643086777676073,time_averages,,0,-4.336808689942018e-19,-1.3552527156068805e-20,SP
division_ratio,added_length,"$f$, $\Delta$",-9.301287287916441e-05,-0.0029965969864950022,model,,0,-4.336808689942018e-19,-1.3552527156068805e-20,SP
division_ratio,added_length,"$f$, $\Delta$",-0.00025656678790816786,-0.008265815684234621,physical_units,,1,0.0,0.0,SP
division_ratio,added_length,"$\delta f$, $\delta \Delta$",0.00035314480882657284,0.011377271093441454,trace_centered,,1,0.0,0.0,SP
division_ratio,added_length,"$\overline{f}$, $\overline{\Delta}$",-0.0006097115967347407,-0.019643086777676073,time_averages,,1,0.0,0.0,SP
division_ratio,added_length,"$f$, $\Delta$",-0.00025656678790816786,-0.008265815684234621,model,,1,0.0,0.0,SP
division_ratio,added_length,"$f$, $\Delta$",0.0015240875918283176,0.04910155060752049,physical_units,,2,0.0,0.0,SP
division_ratio,added_length,"$\delta f$, $\delta \Delta$",0.0021337991885630584,0.06874463738519657,trace_centered,,2,0.0,0.0,SP
division_ratio,added_length,"$\overline{f}$, $\overline{\Delta}$",-0.0006097115967347407,-0.019643086777676073,time_averages,,2,0.0,0.0,SP
